22	0	3
32	0	1
43	0	1
13	1	1
20	1	2
27	1	2
9	2	2
19	2	3
43	2	1
12	3	4
22	3	4
22	4	5
42	4	5
1	5	2
4	5	2
4	6	0
19	6	0
22	6	0
21	7	4
46	7	4
10	8	1
13	8	2
23	8	2
6	9	5
21	9	5
11	10	1
23	10	3
42	10	0
26	11	1
40	11	1
9	12	2
21	12	2
27	12	1
1	13	3
4	13	3
20	13	3
12	14	1
14	14	1
25	14	2
8	15	3
20	15	3
22	15	3
6	16	6
12	16	7
20	16	6
1	17	4
17	17	4
5	18	4
18	18	7
26	18	7
13	19	4
39	19	7
12	20	3
16	20	1
26	20	1
8	21	1
19	21	1
23	21	1
6	22	2
44	22	2
39	23	3
46	23	1
27	24	3
37	24	3
7	25	6
22	25	6
27	25	6
16	26	0
36	26	0
1	27	4
8	27	7
10	27	5
6	28	6
24	28	6
39	28	5
5	29	2
12	29	2
21	30	5
22	30	4
23	30	4
13	31	3
21	31	3
29	31	3
11	32	6
29	32	6
32	32	6
12	33	6
23	33	6
13	34	5
18	34	5
4	35	7
19	35	6
32	35	7
22	36	4
35	36	4
67	36	4
13	37	0
19	37	0
13	38	5
17	38	5
29	38	5
5	39	7
11	39	4
22	39	4
7	40	5
21	40	5
10	41	6
39	41	5
20	42	2
7	43	3
12	43	0
10	44	4
12	44	4
22	44	4
10	45	2
12	45	2
26	45	2
11	46	1
43	46	1
19	47	5
29	47	5
1	48	1
32	48	2
17	49	6
27	49	6
43	49	6
4	50	1
12	50	1
11	51	7
26	51	7
42	51	7
4	52	2
41	52	1
6	53	0
8	53	0
12	53	3
16	54	1
21	54	1
4	55	6
18	55	6
37	55	6
24	56	6
10	57	7
19	57	7
21	57	7
16	58	4
24	58	4
30	58	7
12	59	4
16	59	4
21	59	4
19	60	2
24	60	1
27	60	2
20	61	3
27	61	3
13	62	0
22	62	0
23	62	0
24	63	5
43	63	5
47	63	5
4	64	1
12	64	1
24	64	1
22	65	1
23	65	1
34	65	2
21	66	4
50	66	4
42	67	5
43	67	5
4	68	2
5	69	6
42	69	6
59	69	6
6	70	4
39	70	4
13	71	3
21	71	1
41	71	1
6	72	7
8	72	7
15	73	6
20	73	6
23	74	6
42	74	6
8	75	1
19	75	3
50	75	1
27	76	5
29	76	5
4	77	6
63	77	6
1	78	6
39	78	6
44	78	6
13	79	4
18	79	4
23	79	4
15	80	1
22	80	3
22	81	3
29	81	3
46	81	1
9	82	6
11	82	6
52	82	1
18	83	5
32	83	5
40	83	5
11	84	4
22	84	4
39	84	4
22	85	5
27	85	5
11	86	6
18	86	6
23	86	6
6	87	4
7	87	4
16	88	0
22	88	0
39	88	0
46	89	4
51	89	4
11	90	7
22	90	4
50	90	7
29	91	0
34	91	0
1	92	3
8	92	1
27	92	3
13	93	3
24	93	1
35	93	3
14	94	6
32	94	5
47	94	5
13	95	5
17	95	5
18	96	7
63	96	7
21	97	4
22	97	4
27	97	4
8	98	1
22	98	1
27	98	1
18	99	3
22	99	3
37	99	3
7	100	5
22	100	5
39	100	5
12	101	4
23	101	4
39	101	7
6	102	4
7	102	4
8	102	4
27	103	2
43	103	1
5	104	7
37	104	7
42	104	4
7	105	7
27	105	7
46	105	7
7	106	6
17	106	6
19	106	6
29	107	2
46	107	2
47	107	1
1	108	4
18	108	4
59	108	4
18	109	2
23	109	2
43	109	2
17	110	2
21	110	1
27	110	2
8	111	1
23	111	1
39	111	7
1	112	7
11	112	7
23	112	7
11	113	4
30	113	4
32	113	6
6	114	0
22	114	0
8	115	7
24	115	4
37	115	7
12	116	7
22	116	7
24	116	6
1	117	4
7	117	4
27	117	4
5	118	0
41	118	0
19	119	2
43	119	1
1	120	6
20	120	6
39	120	6
37	121	7
44	121	4
1	122	7
19	122	7
35	122	6
1	123	7
13	123	6
42	123	7
5	124	2
34	124	2
42	124	1
12	125	2
42	125	2
4	126	1
7	126	2
20	126	2
5	127	4
6	127	4
43	127	4
1	128	1
8	128	1
17	128	1
22	129	3
23	129	3
52	129	3
11	130	1
21	130	1
24	130	1
1	131	6
7	131	6
17	131	6
8	132	0
35	132	0
47	132	3
4	133	6
22	133	6
5	134	6
37	134	6
34	135	1
36	135	1
43	135	1
5	136	6
27	136	6
42	136	6
1	137	6
19	137	0
15	138	4
22	138	4
32	138	7
4	139	6
24	139	4
35	139	6
3	140	0
4	140	0
5	140	0
14	141	3
27	141	4
10	142	0
46	142	0
13	143	5
19	143	5
24	143	5
15	144	7
39	144	7
23	145	0
42	145	0
20	146	4
23	146	4
29	146	7
1	147	3
4	147	3
10	148	3
29	148	2
10	149	3
14	149	3
19	149	3
9	150	4
19	150	4
22	151	0
45	151	0
9	152	5
22	152	5
30	152	5
5	153	6
37	153	7
18	154	7
52	154	4
13	155	3
21	155	3
23	155	3
5	156	0
27	156	0
1	157	6
17	157	6
21	157	6
22	158	3
38	158	1
16	159	7
46	159	4
47	159	7
24	160	3
39	160	3
47	160	1
1	161	1
21	161	1
42	161	1
7	162	7
27	162	7
1	163	1
13	163	2
31	163	2
1	164	1
7	164	1
18	165	7
22	165	7
34	165	7
18	166	0
27	166	0
37	166	0
13	167	3
18	167	3
16	168	5
20	168	5
39	168	5
3	169	6
23	169	5
34	169	7
22	170	2
26	170	1
42	170	3
13	171	0
39	171	0
13	172	5
18	172	5
37	172	5
6	173	2
7	173	2
12	173	1
12	174	7
17	174	6
32	174	6
6	175	2
18	175	2
9	176	5
18	176	5
1	177	4
12	177	4
1	178	1
19	178	2
22	178	2
4	179	5
27	179	5
51	179	5
1	180	5
20	180	5
21	180	5
5	181	3
8	181	2
4	182	5
52	182	5
4	183	4
6	183	4
39	183	4
20	184	3
35	184	3
39	184	3
12	185	3
14	185	3
27	185	3
1	186	6
12	186	6
11	187	4
12	187	4
18	187	4
5	188	0
21	188	0
27	188	0
6	189	1
46	189	1
11	190	3
17	190	0
21	191	4
43	191	4
5	192	7
18	192	7
27	192	7
18	193	2
13	194	6
41	194	5
1	195	0
47	195	0
4	196	7
34	196	7
13	197	4
20	197	4
27	197	4
13	198	1
21	198	1
22	198	1
18	199	0
23	199	0
22	200	0
29	200	0
21	201	5
29	201	5
7	202	0
8	202	0
19	202	3
22	203	3
23	203	3
22	204	6
26	204	6
39	204	6
6	205	4
29	205	6
39	205	4
7	206	2
11	206	1
22	206	1
17	207	7
20	207	7
34	207	7
12	208	1
18	208	2
8	209	1
14	209	1
24	209	3
22	210	3
24	210	1
13	211	4
21	211	4
18	212	6
20	212	6
24	212	6
7	213	5
17	213	5
5	214	5
